glyph_name,ps_name,sort_final,sort_design,USV
nna_imatra,uni0CA30CBF,420,505,0CA3_0CBF
nna_ematra,uni0CA30CC6,421,549,0CA3_0CC6
nna_aumatra,uni0CA30CCC,422,589,0CA3_0CCC
nna_virama,uni0CA30CCD,423,627,0CA3_0CCD
ta,uni0CA4,424,263,0CA4
ta.base,uni0CA4.base,425,669,
ta.sub,uni0CA4.sub,426,764,
ta_ya.below,uni0CA40CAF.below,427,449,
ta_va.below,uni0CA40CB5.below,428,450,
ta_aamatra,uni0CA40CBE,429,470,0CA4_0CBE
ta_imatra,uni0CA40CBF,430,506,0CA4_0CBF
ta_rvocalicmatra.below,uni0CA40CC3.below,431,531,
ta_ematra,uni0CA40CC6,432,550,0CA4_0CC6
ta_aumatra,uni0CA40CCC,433,590,0CA4_0CCC
ta_virama,uni0CA40CCD,434,628,0CA4_0CCD
ta_ailengthmark.below,uni0CA40CD6.below,435,649,
tha,uni0CA5,436,264,0CA5
tha.base,uni0CA5.base,437,670,
tha.sub,uni0CA5.sub,438,765,
tha_aamatra,uni0CA50CBE,439,471,0CA5_0CBE
tha_imatra,uni0CA50CBF,440,507,0CA5_0CBF
tha_ematra,uni0CA50CC6,441,551,0CA5_0CC6
tha_aumatra,uni0CA50CCC,442,591,0CA5_0CCC
tha_virama,uni0CA50CCD,443,629,0CA5_0CCD
da,uni0CA6,444,265,0CA6
da.base,uni0CA6.base,445,671,
da.sub,uni0CA6.sub,446,766,
da_aamatra,uni0CA60CBE,447,472,0CA6_0CBE
da_imatra,uni0CA60CBF,448,508,0CA6_0CBF
da_ematra,uni0CA60CC6,449,552,0CA6_0CC6
da_aumatra,uni0CA60CCC,450,592,0CA6_0CCC
da_virama,uni0CA60CCD,451,630,0CA6_0CCD
dha,uni0CA7,452,266,0CA7
dha.base,uni0CA7.base,453,672,
dha.sub,uni0CA7.sub,454,767,
dha_aamatra,uni0CA70CBE,455,473,0CA7_0CBE
dha_imatra,uni0CA70CBF,456,509,0CA7_0CBF
dha_ematra,uni0CA70CC6,457,553,0CA7_0CC6
dha_aumatra,uni0CA70CCC,458,593,0CA7_0CCC
dha_virama,uni0CA70CCD,459,631,0CA7_0CCD
na,uni0CA8,460,267,0CA8
na.base,uni0CA8.base,461,673,
na.sub,uni0CA8.sub,462,768,
na_aamatra,uni0CA80CBE,463,474,0CA8_0CBE
na_imatra,uni0CA80CBF,464,510,0CA8_0CBF
na_ematra,uni0CA80CC6,465,554,0CA8_0CC6
na_aumatra,uni0CA80CCC,466,594,0CA8_0CCC
na_virama,uni0CA80CCD,467,632,0CA8_0CCD
pa,uni0CAA,468,268,0CAA
pa.base,uni0CAA.base,469,674,
pa.sub,uni0CAA.sub,470,769,
pa_aamatra,uni0CAA0CBE,471,475,0CAA_0CBE
pa_imatra,uni0CAA0CBF,472,511,0CAA_0CBF
pa_ematra,uni0CAA0CC6,473,555,0CAA_0CC6
pa_aumatra,uni0CAA0CCC,474,595,0CAA_0CCC
pa_virama,uni0CAA0CCD,475,633,0CAA_0CCD
pha,uni0CAB,476,269,0CAB
pha.base,uni0CAB.base,477,675,
pha.sub,uni0CAB.sub,478,770,
pha_aamatra,uni0CAB0CBE,479,476,0CAB_0CBE
pha_imatra,uni0CAB0CBF,480,512,0CAB_0CBF
pha_ematra,uni0CAB0CC6,481,556,0CAB_0CC6
pha_aumatra,uni0CAB0CCC,482,596,0CAB_0CCC
pha_virama,uni0CAB0CCD,483,634,0CAB_0CCD
ba,uni0CAC,484,270,0CAC
ba.base,uni0CAC.base,485,676,
ba.sub,uni0CAC.sub,486,771,
ba_aamatra,uni0CAC0CBE,487,477,0CAC_0CBE
ba_imatra,uni0CAC0CBF,488,513,0CAC_0CBF
ba_ematra,uni0CAC0CC6,489,557,0CAC_0CC6
ba_aumatra,uni0CAC0CCC,490,597,0CAC_0CCC
ba_virama,uni0CAC0CCD,491,635,0CAC_0CCD
bha,uni0CAD,492,271,0CAD
bha.base,uni0CAD.base,493,677,
bha.sub,uni0CAD.sub,494,772,
bha_aamatra,uni0CAD0CBE,495,478,0CAD_0CBE
bha_imatra,uni0CAD0CBF,496,514,0CAD_0CBF
bha_ematra,uni0CAD0CC6,497,558,0CAD_0CC6
bha_aumatra,uni0CAD0CCC,498,598,0CAD_0CCC
bha_virama,uni0CAD0CCD,499,636,0CAD_0CCD
ma,uni0CAE,500,272,0CAE
ma.base,uni0CAE.base,501,678,
ma.noEbase,uni0CAE.noEbase,502,738,
ma.regbase,uni0CAE.regbase,503,747,
ma.sub,uni0CAE.sub,504,773,
ma_aamatra,uni0CAE0CBE,505,479,0CAE_0CBE
ma_imatra,uni0CAE0CBF,506,515,0CAE_0CBF
ma_ematra,uni0CAE0CC6,507,559,0CAE_0CC6
ma_ematra.Obase,uni0CAE0CC6.Obase,508,560,
ma_aumatra,uni0CAE0CCC,509,599,0CAE_0CCC
ma_virama,uni0CAE0CCD,510,637,0CAE_0CCD
ya,uni0CAF,511,273,0CAF
ya.base,uni0CAF.base,512,679,
ya.noEbase,uni0CAF.noEbase,513,739,
ya.part,uni0CAF.part,514,745,
ya.regbase,uni0CAF.regbase,515,748,
ya.sub,uni0CAF.sub,516,774,
ya_aamatra,uni0CAF0CBE,517,480,0CAF_0CBE
ya_imatra,uni0CAF0CBF,518,516,0CAF_0CBF
ya_ematra,uni0CAF0CC6,519,561,0CAF_0CC6
ya_ematra.Obase,uni0CAF0CC6.Obase,520,562,
ya_aumatra,uni0CAF0CCC,521,600,0CAF_0CCC
ya_virama,uni0CAF0CCD,522,638,0CAF_0CCD
ra,uni0CB0,523,274,0CB0
ra.base,uni0CB0.base,524,680,
ra.below,uni0CB0.below,525,688,
ra.below.large,uni0CB0.below.large,526,689,
ra.below.ra,uni0CB0.below.ra,527,690,
ra.below.subcons,uni0CB0.below.subcons,528,691,
ra_aamatra,uni0CB00CBE,529,481,0CB0_0CBE
ra_imatra,uni0CB00CBF,530,517,0CB0_0CBF
ra_ematra,uni0CB00CC6,531,563,0CB0_0CC6
ra_aumatra,uni0CB00CCC,532,601,0CB0_0CCC
ra_virama,uni0CB00CCD,533,639,0CB0_0CCD
ra_ailengthmark.below,uni0CB00CD6.below,534,650,
rra,uni0CB1,535,275,0CB1
rra.sub,uni0CB1.sub,536,775,
rra_aamatra,uni0CB10CBE,537,482,0CB1_0CBE
rra_imatra,uni0CB10CBF,538,518,0CB1_0CBF
rra_ematra,uni0CB10CC6,539,564,0CB1_0CC6
rra_aumatra,uni0CB10CCC,540,602,0CB1_0CCC
rra_virama,uni0CB10CCD,541,640,0CB1_0CCD
la,uni0CB2,542,276,0CB2
la.base,uni0CB2.base,543,681,
la.sub,uni0CB2.sub,544,776,
la_aamatra,uni0CB20CBE,545,483,0CB2_0CBE
la_imatra,uni0CB20CBF,546,519,0CB2_0CBF
la_ematra,uni0CB20CC6,547,565,0CB2_0CC6
la_aumatra,uni0CB20CCC,548,603,0CB2_0CCC
la_virama,uni0CB20CCD,549,641,0CB2_0CCD
lla,uni0CB3,550,277,0CB3
lla.base,uni0CB3.base,551,682,
lla.sub,uni0CB3.sub,552,777,
lla_aamatra,uni0CB30CBE,553,484,0CB3_0CBE
lla_imatra,uni0CB30CBF,554,520,0CB3_0CBF
lla_umatra,uni0CB30CC1,555,529,0CB3_0CC1
lla_ematra,uni0CB30CC6,556,566,0CB3_0CC6
lla_aumatra,uni0CB30CCC,557,604,0CB3_0CCC
lla_virama,uni0CB30CCD,558,642,0CB3_0CCD
va,uni0CB5,559,278,0CB5
va.base,uni0CB5.base,560,683,
va.sub,uni0CB5.sub,561,778,
va_aamatra,uni0CB50CBE,562,485,0CB5_0CBE
va_imatra,uni0CB50CBF,563,521,0CB5_0CBF
va_ematra,uni0CB50CC6,564,567,0CB5_0CC6
va_aumatra,uni0CB50CCC,565,605,0CB5_0CCC
va_virama,uni0CB50CCD,566,643,0CB5_0CCD
sha,uni0CB6,567,279,0CB6
sha.base,uni0CB6.base,568,684,
sha.sub,uni0CB6.sub,569,779,
sha_ra_imatra,uni0CB60CB00CBF,570,522,0CB6_0CB0_0CBF
sha_aamatra,uni0CB60CBE,571,486,0CB6_0CBE
sha_imatra,uni0CB60CBF,572,523,0CB6_0CBF
sha_ematra,uni0CB60CC6,573,568,0CB6_0CC6
sha_aumatra,uni0CB60CCC,574,606,0CB6_0CCC
sha_virama,uni0CB60CCD,575,644,0CB6_0CCD
ssa,uni0CB7,576,280,0CB7
ssa.base,uni0CB7.base,577,685,
ssa.sub,uni0CB7.sub,578,780,
ssa_aamatra,uni0CB70CBE,579,487,0CB7_0CBE
ssa_imatra,uni0CB70CBF,580,524,0CB7_0CBF
ssa_ematra,uni0CB70CC6,581,569,0CB7_0CC6
ssa_aumatra,uni0CB70CCC,582,607,0CB7_0CCC
ssa_virama,uni0CB70CCD,583,645,0CB7_0CCD
sa,uni0CB8,584,281,0CB8
sa.base,uni0CB8.base,585,686,
sa.sub,uni0CB8.sub,586,781,
sa_aamatra,uni0CB80CBE,587,488,0CB8_0CBE
sa_imatra,uni0CB80CBF,588,525,0CB8_0CBF
sa_ematra,uni0CB80CC6,589,570,0CB8_0CC6
sa_aumatra,uni0CB80CCC,590,608,0CB8_0CCC
sa_virama,uni0CB80CCD,591,646,0CB8_0CCD
ha,uni0CB9,592,282,0CB9
ha.base,uni0CB9.base,593,687,
ha.sub,uni0CB9.sub,594,782,
ha_aamatra,uni0CB90CBE,595,489,0CB9_0CBE
ha_imatra,uni0CB90CBF,596,526,0CB9_0CBF
ha_ematra,uni0CB90CC6,597,571,0CB9_0CC6
ha_aumatra,uni0CB90CCC,598,609,0CB9_0CCC
ha_virama,uni0CB90CCD,599,647,0CB9_0CCD
nukta,uni0CBC,600,283,0CBC
nukta.alt,uni0CBC.alt,601,651,
avagraha,uni0CBD,602,284,0CBD
aamatra,uni0CBE,603,285,0CBE
aamatra.large,uni0CBE.large,604,703,
imatra,uni0CBF,605,286,0CBF
iimatra,uni0CC0,606,287,0CC0
umatra,uni0CC1,607,288,0CC1
umatra.large,uni0CC1.large,608,704,
uumatra,uni0CC2,609,289,0CC2
uumatra.large,uni0CC2.large,610,705,
rvocalicmatra,uni0CC3,611,290,0CC3
rrvocalicmatra,uni0CC4,612,291,0CC4
ematra,uni0CC6,613,292,0CC6
ematra.large,uni0CC6.large,614,706,
eematra,uni0CC7,615,293,0CC7
aimatra,uni0CC8,616,294,0CC8
omatra,uni0CCA,617,295,0CCA
omatra.large,uni0CCA.large,618,707,
oomatra,uni0CCB,619,296,0CCB
