glyph_name,ps_name,sort_final,sort_design,USV
ya_aamatra,uni0CAF0CBE,508,475,0CAF_0CBE
ya_imatra,uni0CAF0CBF,509,511,0CAF_0CBF
ya_ematra,uni0CAF0CC6,510,556,0CAF_0CC6
ya_ematra.Obase,uni0CAF0CC6.Obase,511,557,
ya_aumatra,uni0CAF0CCC,512,595,0CAF_0CCC
ya_virama,uni0CAF0CCD,513,633,0CAF_0CCD
ra,uni0CB0,514,274,0CB0
ra.base,uni0CB0.base,515,675,
ra.below,uni0CB0.below,516,683,
ra.below.large,uni0CB0.below.large,517,684,
ra.below.ra,uni0CB0.below.ra,518,685,
ra.below.subcons,uni0CB0.below.subcons,519,686,
ra_aamatra,uni0CB00CBE,520,476,0CB0_0CBE
ra_imatra,uni0CB00CBF,521,512,0CB0_0CBF
ra_ematra,uni0CB00CC6,522,558,0CB0_0CC6
ra_aumatra,uni0CB00CCC,523,596,0CB0_0CCC
ra_virama,uni0CB00CCD,524,634,0CB0_0CCD
ra_ailengthmark.below,uni0CB00CD6.below,525,645,
rra,uni0CB1,526,275,0CB1
rra.sub,uni0CB1.sub,527,763,
rra_aamatra,uni0CB10CBE,528,477,0CB1_0CBE
rra_imatra,uni0CB10CBF,529,513,0CB1_0CBF
rra_ematra,uni0CB10CC6,530,559,0CB1_0CC6
rra_aumatra,uni0CB10CCC,531,597,0CB1_0CCC
rra_virama,uni0CB10CCD,532,635,0CB1_0CCD
la,uni0CB2,533,276,0CB2
la.base,uni0CB2.base,534,676,
la.sub,uni0CB2.sub,535,764,
la_aamatra,uni0CB20CBE,536,478,0CB2_0CBE
la_imatra,uni0CB20CBF,537,514,0CB2_0CBF
la_ematra,uni0CB20CC6,538,560,0CB2_0CC6
la_aumatra,uni0CB20CCC,539,598,0CB2_0CCC
la_virama,uni0CB20CCD,540,636,0CB2_0CCD
lla,uni0CB3,541,277,0CB3
lla.base,uni0CB3.base,542,677,
lla.sub,uni0CB3.sub,543,765,
lla_aamatra,uni0CB30CBE,544,479,0CB3_0CBE
lla_imatra,uni0CB30CBF,545,515,0CB3_0CBF
lla_umatra,uni0CB30CC1,546,524,0CB3_0CC1
lla_ematra,uni0CB30CC6,547,561,0CB3_0CC6
lla_aumatra,uni0CB30CCC,548,599,0CB3_0CCC
lla_virama,uni0CB30CCD,549,637,0CB3_0CCD
va,uni0CB5,550,278,0CB5
va.base,uni0CB5.base,551,678,
va.sub,uni0CB5.sub,552,766,
va_aamatra,uni0CB50CBE,553,480,0CB5_0CBE
va_imatra,uni0CB50CBF,554,516,0CB5_0CBF
va_ematra,uni0CB50CC6,555,562,0CB5_0CC6
va_aumatra,uni0CB50CCC,556,600,0CB5_0CCC
va_virama,uni0CB50CCD,557,638,0CB5_0CCD
sha,uni0CB6,558,279,0CB6
sha.base,uni0CB6.base,559,679,
sha.sub,uni0CB6.sub,560,767,
sha_ra_imatra,uni0CB60CB00CBF,561,517,0CB6_0CB0_0CBF
sha_aamatra,uni0CB60CBE,562,481,0CB6_0CBE
sha_imatra,uni0CB60CBF,563,518,0CB6_0CBF
sha_ematra,uni0CB60CC6,564,563,0CB6_0CC6
sha_aumatra,uni0CB60CCC,565,601,0CB6_0CCC
sha_virama,uni0CB60CCD,566,639,0CB6_0CCD
ssa,uni0CB7,567,280,0CB7
ssa.base,uni0CB7.base,568,680,
ssa.sub,uni0CB7.sub,569,768,
